Acronym,SAT ID,Launch,(expected) EOL,Satellite Programme,Agencies,Orbit,Altitude,Longitude,Inclination,Ect,Sat status,Payload,WIGOS Station Identifier,Link,Last update
NEMO-AM,1111,≥2026,≥2030,Nanosatellite for Earth Monitoring and Observation-Aerosol Monitoring,"ISRO
",SunSync,650 km,,,09:30 desc,Planned,Imager (NEMO),0-20009-0-0,,2026-02-09 10:36:51
NISAR,639,30 Jul 2025,≥2029,NASA-ISRO Synthetic Aperture Radar,"NASA
ISRO",SunSync,747 km,,,06:00 desc,Operational,"SAR-L (NISAR)
SAR-S (NISAR) ",-20009--,,2026-02-23 08:51:53
OceanSat-1 (IRS-P4),343,26 May 1999,08 Aug 2010,Satellite for the Ocean,"ISRO
",SunSync,723 km,,,12:00 desc,Inactive,"MSMR
OCM (OceanSat-1)",,,2019-10-29 15:53:58
OceanSat-2,344,23 Sep 2009,Jul 2023,Satellite for the Ocean,"ISRO
",SunSync,730 km,,,11:53 desc,Inactive,"OCM (OceanSat-2)
OSCAT
ROSA (OceanSat)",0-20009-0-421,,2023-12-21 10:09:28
OceanSat-3 (EOS-06),345,26 Nov 2022,≥2027,Satellite for the Ocean,"ISRO
",SunSync,723 km,,,12:00 desc,Operational,"Argos-4
OCM (OceanSat-3)
OSCAT-3",0-20009-0-423,,2026-08-24 14:39:22
OceanSat-3A,722,Sep 2026,≥2030,Satellite for the Ocean,"ISRO
",SunSync,723 km,,,12:00 desc,Planned,"MATHS
OCM (OceanSat-3)
OSCAT-3
SSTM",-20009--,,2026-04-20 07:51:19
ResourceSat-1 (IRS-P6),373,17 Oct 2003,07 Dec 2013,Satellite for Earth Resources,"ISRO
",SunSync,817 km,,,10:42 desc,Inactive,"AWiFS
LISS-3 (ResourceSat)
LISS-4",,,2022-10-24 10:45:46
ResourceSat-2,374,20 Apr 2011,≥2026,Satellite for Earth Resources,"ISRO
",SunSync,817 km,,,10:33 desc,Operational,"AWiFS
LISS-3 (ResourceSat)
LISS-4",-20009--,,2026-02-02 16:05:59
ResourceSat-2A,602,07 Dec 2016,≥2026,Satellite for Earth Resources,"ISRO
",SunSync,817 km,,,10:20 desc,Operational,"AWiFS
LISS-3 (ResourceSat)
LISS-4",0-20009-0-,,2026-02-02 16:05:34
ResourceSat-3,720,≥2026,≥2030,Satellite for Earth Resources,"ISRO
",SunSync,795 km,,,10:30 desc,Planned,"ALISS-3
ATCOR",0-20009-0-,,2026-02-09 10:32:23
ResourceSat-3A,721,≥2026,≥2030,Satellite for Earth Resources,"ISRO
",SunSync,795 km,,,10:30 desc,Planned,"ALISS-3
ATCOR",,,2023-07-24 08:39:35
ResourceSat-3S,747,≥2026,≥2029,Satellite for Earth Resources,"ISRO
",SunSync,633 km,,,10:30 desc,Planned,"APAN (ResourceSat-3S)
LISS-V",0-20009-0-,,2026-02-09 10:33:19
ResourceSat-3SA,748,≥2026,≥2031,Satellite for Earth Resources,"ISRO
",SunSync,633 km,,,10:30 desc,Planned,"APAN (ResourceSat-3S)
LISS-V",,,2023-07-24 08:41:09
RISAT-1,380,26 Apr 2012,31 Mar 2017,Radar Imaging Satellite,"ISRO
",SunSync,546 km,,,06:00 desc,Inactive,SAR-C (RISAT),,,2020-01-04 13:53:08
RISAT-1B (EOS-09),1012,18 May 2025,≥2029,Radar Imaging Satellite,"ISRO
",SunSync,529 km,,,06:00 desc,Lost at launch,SAR-C (RISAT),-20009--,,2025-05-20 09:07:56
RISAT-2,381,20 Apr 2009,30 Oct 2022,Radar Imaging Satellite,"ISRO
",DRIFT,440 km,,41°,,Inactive,SAR-X (RISAT-2),,,2024-01-23 15:32:48
RISAT-2B,778,22 May 2019,≥2026,Radar Imaging Satellite,"ISRO
",DRIFT,555 km,,37°,,Operational,SAR-X (RISAT-2),0-20009-0-,,2026-02-02 16:32:41
RISAT-2BR1,783,11 Dec 2019,≥2026,Radar Imaging Satellite,"ISRO
",DRIFT,555 km,,37°,,Operational,SAR-X (RISAT-2),0-20009-0-,,2026-02-02 16:33:06
SARAL,390,25 Feb 2013,≥2026,Satellite with ARgos and ALtiKa,"CNES
ISRO",SunSync,800 km,,,05:56 asc,Operational,"A-DCS
AltiKa
DORIS
LRA (CNES)",0-20009-0-441,,2026-08-24 14:48:43
ScatSat-1,605,26 Sep 2016,28 Feb 2021,Satellite for the Ocean,"ISRO
",SunSync,732 km,,,08:45 desc,Inactive,OSCAT,0-20009-0-422,,2021-06-10 16:21:34
TRISHNA,750,≥2028,≥2031,TRISHA,"ISRO
CNES",SunSync,761 km,,,12:30 asc,Planned,TRISHNA,0-20009-0-,,2026-06-08 08:44:47
